,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,BE,DE,IT,ES,CH,GB
2019-12-20 00:00:00,350.0,2801.0,38.0,175.0,-2863.0,6576.0,3280.0,42176.0,0.0,205.0,10354.0,0.0,0.0,0.0,2528.0,0.0,0.0
2019-12-20 01:00:00,351.0,2693.0,17.0,176.0,-3450.0,6379.0,2692.0,41497.0,0.0,209.0,10355.0,0.0,0.0,0.0,2498.0,0.0,0.0
2019-12-20 02:00:00,352.0,2615.0,14.0,179.0,-3834.0,6437.0,2303.0,40700.0,0.0,209.0,10284.0,0.0,0.0,0.0,2544.0,0.0,0.0
2019-12-20 03:00:00,353.0,2575.0,14.0,180.0,-3825.0,6426.0,2335.0,39860.0,0.0,210.0,10235.0,0.0,0.0,0.0,2500.0,0.0,0.0
2019-12-20 04:00:00,352.0,2472.0,10.0,180.0,-3465.0,6652.0,2472.0,41324.0,0.0,210.0,10434.0,0.0,0.0,0.0,2412.0,0.0,0.0
2019-12-20 05:00:00,352.0,2620.0,10.0,180.0,-1941.0,7036.0,2631.0,43294.0,0.0,209.0,10603.0,0.0,0.0,0.0,1935.0,0.0,0.0
2019-12-20 06:00:00,351.0,2736.0,9.0,180.0,4.0,7170.0,3471.0,44771.0,0.0,208.0,10708.0,0.0,0.0,0.0,1877.0,0.0,0.0
2019-12-20 07:00:00,349.0,2751.0,10.0,180.0,1414.0,7268.0,3502.0,45103.0,129.0,208.0,10539.0,0.0,0.0,0.0,1900.0,0.0,0.0
2019-12-20 08:00:00,344.0,2756.0,13.0,180.0,1338.0,7242.0,4048.0,45062.0,248.0,208.0,10550.0,0.0,0.0,0.0,1879.0,0.0,0.0
2019-12-20 09:00:00,342.0,2764.0,13.0,179.0,1047.0,7055.0,4053.0,45105.0,660.0,208.0,10343.0,0.0,0.0,0.0,1897.0,0.0,0.0
2019-12-20 10:00:00,343.0,2730.0,11.0,179.0,1002.0,7061.0,3762.0,45024.0,1263.0,208.0,10277.0,0.0,0.0,0.0,1933.0,0.0,0.0
2019-12-20 11:00:00,343.0,2753.0,12.0,180.0,979.0,7039.0,3446.0,44918.0,1547.0,208.0,10353.0,0.0,0.0,0.0,1911.0,0.0,0.0
2019-12-20 12:00:00,343.0,2767.0,13.0,179.0,739.0,7096.0,3181.0,45012.0,1683.0,208.0,10366.0,0.0,0.0,0.0,1863.0,0.0,0.0
2019-12-20 13:00:00,344.0,2709.0,11.0,178.0,551.0,7095.0,2874.0,45056.0,1471.0,208.0,9829.0,0.0,0.0,0.0,1899.0,0.0,0.0
2019-12-20 14:00:00,347.0,2446.0,8.0,180.0,857.0,7156.0,3058.0,45035.0,1015.0,209.0,8991.0,0.0,0.0,0.0,1883.0,0.0,0.0
2019-12-20 15:00:00,349.0,2560.0,5.0,179.0,1152.0,7363.0,2765.0,45354.0,362.0,209.0,7949.0,0.0,0.0,0.0,1903.0,0.0,0.0
2019-12-20 16:00:00,351.0,3047.0,3.0,179.0,1465.0,7431.0,2702.0,45112.0,0.0,210.0,7493.0,0.0,0.0,0.0,1860.0,0.0,0.0
2019-12-20 17:00:00,352.0,3151.0,3.0,179.0,1316.0,7537.0,2901.0,45034.0,0.0,210.0,7663.0,0.0,0.0,0.0,1943.0,0.0,0.0
2019-12-20 18:00:00,350.0,3119.0,11.0,179.0,1258.0,7500.0,2836.0,44893.0,0.0,209.0,7874.0,90.0,0.0,0.0,1896.0,0.0,0.0
2019-12-20 19:00:00,349.0,3029.0,14.0,178.0,1081.0,7340.0,2610.0,44216.0,0.0,210.0,7723.0,0.0,0.0,0.0,1860.0,0.0,0.0
2019-12-20 20:00:00,351.0,2459.0,15.0,179.0,878.0,7220.0,2695.0,44223.0,0.0,207.0,7752.0,0.0,0.0,0.0,1894.0,0.0,0.0
2019-12-20 21:00:00,352.0,2397.0,15.0,179.0,965.0,7058.0,2874.0,44374.0,0.0,202.0,7318.0,0.0,0.0,0.0,1908.0,0.0,0.0
2019-12-20 22:00:00,353.0,2374.0,17.0,178.0,416.0,7004.0,3062.0,44361.0,0.0,200.0,6864.0,0.0,0.0,0.0,2046.0,0.0,0.0
2019-12-20 23:00:00,353.0,2358.0,30.0,176.0,81.0,6728.0,3243.0,43650.0,0.0,199.0,6611.0,0.0,0.0,0.0,2539.0,0.0,0.0
2019-12-21 00:00:00,353.0,2351.0,30.0,176.0,-1419.0,6590.0,2782.0,43026.0,0.0,200.0,6434.0,0.0,0.0,0.0,2569.0,0.0,0.0
